CreativeID,CreativeDesc,Coder1,Coder2,CreativeType
2530560,MAN & WOMAN ON COUCH/CELL PHONES,Emotional,Emotional,Emotional
4058456,SPLIT SCREEN/MAN IN SUIT/LAPTOP/URL,Informational,Informational,Informational
4494115,WOMAN/MAGAZINE/WATER IN GLASS/LIGHT,Emotional,Emotional,Emotional
4616346,MAN WITH GLASSES/WOMAN/MONITORS,Emotional,Informational,Emotional
4640665,ANIMATION/PIE/CELL PHONE/WOMAN/MAN,Informational,Informational,Emotional
4645577,ANIMATED PIE/VARIOUS PEOPLE/PHONE,Informational,Informational,Informational
4673888,WOMAN STICKING TAPE ON WALL/WINDOW,Emotional,Emotional,Emotional
4675623,HANDS/PRODUCT/MAN/FRAMES/STAIRS/URL,Informational,Emotional,Informational
4700980,MAN IN BATHROOM/MAN USES PRODUCT,Informational,Informational,Informational
4701704,RAZOR/MEN SHAVING/SPLIT SCREEN/TEXT,Informational,Informational,Informational
4719782,MEN AT TABLE/WOMAN HOLDING PHONE,Emotional,Informational,Emotional
4740841,2 WOMEN/COUPLE WITH BIKES/PEOPLE,Informational,Unclear,Informational
4743008,MEN AT TABLE/WAITRESS POURS COFFEE,Informational,Informational,Informational
4754192,MAN & WOMAN AT TABLE/CUP/CELL PHONE,Emotional,Emotional,Emotional
4772298,BUNNY WITH GLASSES PLAYING DRUM,Emotional,Informational,Emotional
4791390,BATTERY SHOWN/GRAPHIC TEXT,Informational,Unclear,Informational
4842208,GARAGE/MAN/MINIATURE MAN/PRODUCT,Emotional,Emotional,Informational
4856112,MAN/WOMAN VACUUMING FLOOR/PRODUCT,Informational,Informational,Informational
4856446,PEOPLE/GRILL/BACKYARD/FENCE/PACKAGE,Unclear,Emotional,Emotional
4860350,MEAT ON GRILL/PEOPLE/BAGS/FIRE/TEXT,Emotional,Unclear,Emotional
4874076,MAN IN APRON & WOMAN IN KITCHEN,Emotional,Emotional,Emotional
4876106,WOMAN HOLDING CANDLE/COUPLE & WOMAN,Informational,Emotional,Emotional
