brand_code_uc,brand_descr,week_end,revenue
500426,3M COMMAND,1/6/2018,552772.42
500426,3M COMMAND,1/13/2018,513264.27
500426,3M COMMAND,1/20/2018,492224.22
500426,3M COMMAND,1/27/2018,417880.43
500426,3M COMMAND,2/3/2018,411390
500426,3M COMMAND,2/10/2018,368322.34
500426,3M COMMAND,2/17/2018,367769.1
500426,3M COMMAND,2/24/2018,379924.03
500426,3M COMMAND,3/3/2018,398905.35
500426,3M COMMAND,3/10/2018,391804.79
500426,3M COMMAND,3/17/2018,393279.44
500426,3M COMMAND,3/24/2018,388207.66
500426,3M COMMAND,3/31/2018,431986.06
500426,3M COMMAND,4/7/2018,404637.24
500426,3M COMMAND,4/14/2018,439684.42
500426,3M COMMAND,4/21/2018,416167.16
500426,3M COMMAND,4/28/2018,401355.08
500426,3M COMMAND,5/5/2018,430079.28
500426,3M COMMAND,5/12/2018,416483.43
500426,3M COMMAND,5/19/2018,419714.05
500426,3M COMMAND,5/26/2018,442051.8
500426,3M COMMAND,6/2/2018,481827.17
500426,3M COMMAND,6/9/2018,456070.5
500426,3M COMMAND,6/16/2018,446567.76
500426,3M COMMAND,6/23/2018,453553.8
500426,3M COMMAND,6/30/2018,499223.52
500426,3M COMMAND,7/7/2018,558498.93
500426,3M COMMAND,7/14/2018,555177.94
500426,3M COMMAND,7/21/2018,604183.93
500426,3M COMMAND,7/28/2018,702491.81
500426,3M COMMAND,8/4/2018,903127.91
500426,3M COMMAND,8/11/2018,1079994.62
500426,3M COMMAND,8/18/2018,1410394.1
500426,3M COMMAND,8/25/2018,1336877.84
500426,3M COMMAND,9/1/2018,929973.15
500426,3M COMMAND,9/8/2018,761297.88
500426,3M COMMAND,9/15/2018,616456.19
500426,3M COMMAND,9/22/2018,629982.09
500426,3M COMMAND,9/29/2018,610979.96
500426,3M COMMAND,10/6/2018,656552.83
500426,3M COMMAND,10/13/2018,623248.87
500426,3M COMMAND,10/20/2018,584118.47
500426,3M COMMAND,10/27/2018,547359.38
500426,3M COMMAND,11/3/2018,555326.59
500426,3M COMMAND,11/10/2018,653402.22
500426,3M COMMAND,11/17/2018,852202.66
500426,3M COMMAND,11/24/2018,1440988.87
500426,3M COMMAND,12/1/2018,1974435.66
500426,3M COMMAND,12/8/2018,1847243
500426,3M COMMAND,12/15/2018,1345703.84
500426,3M COMMAND,12/22/2018,1115272.06
500426,3M COMMAND,12/29/2018,777403.77
504897,AMERI GAS,1/6/2018,620125.61
504897,AMERI GAS,1/13/2018,322612.01
504897,AMERI GAS,1/20/2018,388023.91
504897,AMERI GAS,1/27/2018,308505.14
504897,AMERI GAS,2/3/2018,343834.25
504897,AMERI GAS,2/10/2018,381956.91
504897,AMERI GAS,2/17/2018,316296.51
504897,AMERI GAS,2/24/2018,344068.21
504897,AMERI GAS,3/3/2018,348556.2
504897,AMERI GAS,3/10/2018,383138.36
504897,AMERI GAS,3/17/2018,402195.32
504897,AMERI GAS,3/24/2018,392794.83
504897,AMERI GAS,3/31/2018,425499.45
504897,AMERI GAS,4/7/2018,484572.1
504897,AMERI GAS,4/14/2018,421221.12
504897,AMERI GAS,4/21/2018,442044.67
504897,AMERI GAS,4/28/2018,610121.67
504897,AMERI GAS,5/5/2018,662911.15
504897,AMERI GAS,5/12/2018,705445.36
504897,AMERI GAS,5/19/2018,707803.67
504897,AMERI GAS,5/26/2018,687915.99
504897,AMERI GAS,6/2/2018,1052904.53
504897,AMERI GAS,6/9/2018,644871.11
504897,AMERI GAS,6/16/2018,645466.37
504897,AMERI GAS,6/23/2018,736259.83
504897,AMERI GAS,6/30/2018,631742.09
504897,AMERI GAS,7/7/2018,969187.32
504897,AMERI GAS,7/14/2018,777976.67
504897,AMERI GAS,7/21/2018,584179.56
504897,AMERI GAS,7/28/2018,567097.68
504897,AMERI GAS,8/4/2018,573088.28
504897,AMERI GAS,8/11/2018,577136.53
504897,AMERI GAS,8/18/2018,536250.8
504897,AMERI GAS,8/25/2018,538306.01
504897,AMERI GAS,9/1/2018,555637.82
504897,AMERI GAS,9/8/2018,739080.8
504897,AMERI GAS,9/15/2018,607206.2
504897,AMERI GAS,9/22/2018,444225.73
504897,AMERI GAS,9/29/2018,417765.93
504897,AMERI GAS,10/6/2018,408510.79
504897,AMERI GAS,10/13/2018,398758.24
504897,AMERI GAS,10/20/2018,403391.52
504897,AMERI GAS,10/27/2018,411709.34
504897,AMERI GAS,11/3/2018,387953.16
504897,AMERI GAS,11/10/2018,408483.39
504897,AMERI GAS,11/17/2018,460159.51
504897,AMERI GAS,11/24/2018,672265.71
504897,AMERI GAS,12/1/2018,523393.94
504897,AMERI GAS,12/8/2018,397698.79
504897,AMERI GAS,12/15/2018,379545.66
504897,AMERI GAS,12/22/2018,390165.84
504897,AMERI GAS,12/29/2018,656815.59
507683,ARMOR ALL,1/6/2018,358220.43
507683,ARMOR ALL,1/13/2018,411180.44
507683,ARMOR ALL,1/20/2018,438071.44
507683,ARMOR ALL,1/27/2018,526128.24
507683,ARMOR ALL,2/3/2018,480032.05
507683,ARMOR ALL,2/10/2018,421966.53
507683,ARMOR ALL,2/17/2018,522365.77
507683,ARMOR ALL,2/24/2018,619651.97
507683,ARMOR ALL,3/3/2018,718653.26
507683,ARMOR ALL,3/10/2018,650157.37
507683,ARMOR ALL,3/17/2018,660164.05
507683,ARMOR ALL,3/24/2018,686121.21
507683,ARMOR ALL,3/31/2018,772755.63
507683,ARMOR ALL,4/7/2018,600169.81
507683,ARMOR ALL,4/14/2018,717006.18
507683,ARMOR ALL,4/21/2018,700299.49
507683,ARMOR ALL,4/28/2018,799564.72
507683,ARMOR ALL,5/5/2018,803140.74
507683,ARMOR ALL,5/12/2018,788839.41
507683,ARMOR ALL,5/19/2018,675471.16
507683,ARMOR ALL,5/26/2018,748488.33
507683,ARMOR ALL,6/2/2018,760313.64
507683,ARMOR ALL,6/9/2018,772438.72
507683,ARMOR ALL,6/16/2018,816570.52
507683,ARMOR ALL,6/23/2018,702849.22
507683,ARMOR ALL,6/30/2018,694126.11
507683,ARMOR ALL,7/7/2018,709069.39
507683,ARMOR ALL,7/14/2018,696090.09
507683,ARMOR ALL,7/21/2018,655351.63
507683,ARMOR ALL,7/28/2018,645434.79
507683,ARMOR ALL,8/4/2018,640780.45
507683,ARMOR ALL,8/11/2018,616333.18
507683,ARMOR ALL,8/18/2018,629348.26
507683,ARMOR ALL,8/25/2018,637022.41
507683,ARMOR ALL,9/1/2018,625683.84
507683,ARMOR ALL,9/8/2018,600012.81
507683,ARMOR ALL,9/15/2018,541053.11
507683,ARMOR ALL,9/22/2018,560680.42
507683,ARMOR ALL,9/29/2018,538250.78
507683,ARMOR ALL,10/6/2018,559533.59
507683,ARMOR ALL,10/13/2018,505135.87
507683,ARMOR ALL,10/20/2018,463831.62
507683,ARMOR ALL,10/27/2018,457336.06
507683,ARMOR ALL,11/3/2018,466128.37
507683,ARMOR ALL,11/10/2018,411515.61
507683,ARMOR ALL,11/17/2018,385776.82
507683,ARMOR ALL,11/24/2018,445840.29
507683,ARMOR ALL,12/1/2018,386785.7
507683,ARMOR ALL,12/8/2018,408240.53
507683,ARMOR ALL,12/15/2018,452899.91
507683,ARMOR ALL,12/22/2018,650478.37
507683,ARMOR ALL,12/29/2018,524498.21
710197,CONSUMER CELLULAR,1/6/2018,540879.96
710197,CONSUMER CELLULAR,1/13/2018,588138.25
710197,CONSUMER CELLULAR,1/20/2018,563280.82
710197,CONSUMER CELLULAR,1/27/2018,613996
710197,CONSUMER CELLULAR,2/3/2018,640414.61
710197,CONSUMER CELLULAR,2/10/2018,579332.45
710197,CONSUMER CELLULAR,2/17/2018,601666.17
710197,CONSUMER CELLULAR,2/24/2018,728244.8
710197,CONSUMER CELLULAR,3/3/2018,747519.39
710197,CONSUMER CELLULAR,3/10/2018,722974.98
710197,CONSUMER CELLULAR,3/17/2018,734238.78
710197,CONSUMER CELLULAR,3/24/2018,742130.23
710197,CONSUMER CELLULAR,3/31/2018,817041.59
710197,CONSUMER CELLULAR,4/7/2018,657636.48
710197,CONSUMER CELLULAR,4/14/2018,680196.06
710197,CONSUMER CELLULAR,4/21/2018,676833.18
710197,CONSUMER CELLULAR,4/28/2018,687056.08
710197,CONSUMER CELLULAR,5/5/2018,709663.51
710197,CONSUMER CELLULAR,5/12/2018,722099.67
710197,CONSUMER CELLULAR,5/19/2018,697149.86
710197,CONSUMER CELLULAR,5/26/2018,698785.81
710197,CONSUMER CELLULAR,6/2/2018,735883.77
710197,CONSUMER CELLULAR,6/9/2018,752819.2
710197,CONSUMER CELLULAR,6/16/2018,772555.18
710197,CONSUMER CELLULAR,6/23/2018,774638.17
710197,CONSUMER CELLULAR,6/30/2018,868209.98
710197,CONSUMER CELLULAR,7/7/2018,771275.86
710197,CONSUMER CELLULAR,7/14/2018,768048.04
710197,CONSUMER CELLULAR,7/21/2018,752993.26
710197,CONSUMER CELLULAR,7/28/2018,758313.44
710197,CONSUMER CELLULAR,8/4/2018,820205.87
710197,CONSUMER CELLULAR,8/11/2018,815207.34
710197,CONSUMER CELLULAR,8/18/2018,801262.78
710197,CONSUMER CELLULAR,8/25/2018,775015.89
710197,CONSUMER CELLULAR,9/1/2018,806815.23
710197,CONSUMER CELLULAR,9/8/2018,780421.8
710197,CONSUMER CELLULAR,9/15/2018,731265.98
710197,CONSUMER CELLULAR,9/22/2018,661975.56
710197,CONSUMER CELLULAR,9/29/2018,660635.14
710197,CONSUMER CELLULAR,10/6/2018,611757.06
710197,CONSUMER CELLULAR,10/13/2018,616110.32
710197,CONSUMER CELLULAR,10/20/2018,649364.62
710197,CONSUMER CELLULAR,10/27/2018,641825.15
710197,CONSUMER CELLULAR,11/3/2018,732605.4
710197,CONSUMER CELLULAR,11/10/2018,661847.3
710197,CONSUMER CELLULAR,11/17/2018,635566.38
710197,CONSUMER CELLULAR,11/24/2018,542479.02
710197,CONSUMER CELLULAR,12/1/2018,729818.4
710197,CONSUMER CELLULAR,12/8/2018,763739.27
710197,CONSUMER CELLULAR,12/15/2018,730777.37
710197,CONSUMER CELLULAR,12/22/2018,834962.85
710197,CONSUMER CELLULAR,12/29/2018,732096.64
533389,CONTIGO,1/6/2018,1335148.09
533389,CONTIGO,1/13/2018,1475188.61
533389,CONTIGO,1/20/2018,1410174.19
533389,CONTIGO,1/27/2018,1306137.32
533389,CONTIGO,2/3/2018,1347184.41
